Member_number,Date,itemDescription,category
1170,09-10-2015,citrus fruit,Fruits
1351,26-02-2015,meat,Meat
2645,27-06-2015,soda,Beverages
4202,02-05-2015,yogurt,Dairy
2653,02-03-2015,whipped/sour cream,Dairy
3961,05-03-2015,sausage,Meat
2441,31-05-2015,canned beer,Canned Goods
3637,22-12-2015,root vegetables,Vegetables
2329,15-07-2015,pastry,Bakery
3858,27-03-2015,rolls/buns,Bakery
4294,02-03-2015,rolls/buns,Bakery
4765,01-07-2015,frankfurter,Meat
4017,11-10-2015,sausage,Meat
4855,01-05-2015,liquor,Beverages
2673,10-12-2015,yogurt,Dairy
3352,02-07-2015,frankfurter,Meat
1391,21-08-2015,ham,Meat
4352,29-12-2015,chocolate,Dairy
1298,27-07-2015,bottled beer,Beverages
1618,02-08-2015,chicken,Meat
2433,21-06-2015,specialty cheese,Dairy
4992,01-03-2015,frankfurter,Meat
3515,21-04-2015,pip fruit,Fruits
1786,10-02-2015,canned beer,Canned Goods
3844,27-06-2015,pork,Meat
3914,08-01-2015,canned beer,Canned Goods
4859,10-05-2015,beef,Meat
2747,30-08-2015,rolls/buns,Bakery
4172,08-10-2015,dental care,Personal Care
1796,15-08-2015,sausage,Meat
2524,05-12-2015,rolls/buns,Bakery
3523,01-04-2015,whole milk,Dairy
3761,30-03-2015,beef,Meat
1830,16-01-2015,ham,Meat
4144,01-04-2015,finished products,Baby Products
3803,27-01-2015,dessert,Bakery
4503,22-03-2015,rolls/buns,Bakery
2055,02-05-2015,sausage,Meat
3634,10-12-2015,citrus fruit,Fruits
4503,09-08-2015,whole milk,Dairy
3756,02-12-2015,whole milk,Dairy
3071,13-06-2015,sausage,Meat
3168,16-12-2015,root vegetables,Vegetables
2301,24-12-2015,organic sausage,Meat
1270,25-04-2015,pork,Meat
3999,15-11-2015,dessert,Bakery
1603,13-07-2015,canned beer,Canned Goods
3089,16-02-2015,citrus fruit,Fruits
4671,30-05-2015,hamburger meat,Meat
2985,29-05-2015,citrus fruit,Fruits
3318,21-07-2015,other vegetables,Vegetables
3954,10-02-2015,canned beer,Canned Goods
1048,18-10-2015,rolls/buns,Bakery
3586,24-05-2015,ham,Meat
4431,16-11-2015,beverages,Beverages
3977,16-04-2015,whole milk,Dairy
1799,13-06-2015,canned beer,Canned Goods
2609,26-08-2015,frankfurter,Meat
4187,10-04-2015,whole milk,Dairy
3140,11-02-2015,citrus fruit,Fruits
4942,23-11-2015,frankfurter,Meat
3886,18-11-2015,frankfurter,Meat
4453,23-08-2015,yogurt,Dairy
1056,09-11-2015,whipped/sour cream,Dairy
2700,18-10-2015,candy,Snacks
1049,05-09-2015,frankfurter,Meat
2446,29-07-2015,chicken,Meat
4864,05-07-2015,sausage,Meat
1483,25-04-2015,brown bread,Bakery
4158,26-12-2015,pip fruit,Fruits
2212,28-10-2015,bottled water,Beverages
1142,13-06-2015,chicken,Meat
2273,26-10-2015,sausage,Meat
3741,23-01-2015,chicken,Meat
3574,20-06-2015,pork,Meat
3902,29-11-2015,ham,Meat
2169,21-10-2015,citrus fruit,Fruits
3038,11-01-2015,rolls/buns,Bakery
2023,07-02-2015,tropical fruit,Fruits
1038,10-04-2015,other vegetables,Vegetables
3998,23-01-2015,other vegetables,Vegetables
3516,13-12-2015,photo/film,Baby Products
1979,09-09-2015,pork,Meat
3635,13-12-2015,pastry,Bakery
3966,01-06-2015,frankfurter,Meat
1430,12-11-2015,rolls/buns,Bakery
2583,26-03-2015,berries,Fruits
2055,07-07-2015,photo/film,Baby Products
1092,03-07-2015,photo/film,Baby Products
4138,10-10-2015,whole milk,Dairy
1515,28-11-2015,waffles,Snacks
3481,04-10-2015,sausage,Meat
2426,02-06-2015,hamburger meat,Meat
1886,02-12-2015,canned beer,Canned Goods
4861,13-09-2015,other vegetables,Vegetables
2946,04-11-2015,chicken,Meat
2349,17-07-2015,ice cream,Dairy
2326,13-11-2015,pork,Meat
2910,19-07-2015,citrus fruit,Fruits
2103,11-03-2015,frozen meals,Frozen
3260,02-12-2015,ham,Meat
1893,04-04-2015,hamburger meat,Meat
3352,08-11-2015,soda,Beverages
4834,27-04-2015,frankfurter,Meat
2476,25-02-2015,canned beer,Canned Goods
1013,02-07-2015,frozen meals,Frozen
3004,10-02-2015,whole milk,Dairy
1573,21-01-2015,misc. beverages,Beverages
2089,31-10-2015,canned beer,Canned Goods
3077,19-01-2015,root vegetables,Vegetables
3900,07-07-2015,sausage,Meat
2470,14-05-2015,canned beer,Canned Goods
4785,04-04-2015,tropical fruit,Fruits
2916,19-04-2015,pastry,Bakery
3179,21-03-2015,sausage,Meat
2285,16-12-2015,canned beer,Canned Goods
2617,03-01-2015,soda,Beverages
1945,24-04-2015,canned beer,Canned Goods
4601,15-12-2015,cat food,Snacks
4722,13-10-2015,sausage,Meat
4605,13-08-2015,bottled water,Beverages
4971,19-02-2015,soda,Beverages
4725,01-09-2015,rolls/buns,Bakery
3872,07-08-2015,pork,Meat
4280,02-05-2015,frozen meals,Frozen
4544,21-01-2015,soda,Beverages
4839,03-06-2015,pastry,Bakery
2785,04-08-2015,shopping bags,Dry Goods
1594,23-01-2015,brown bread,Bakery
4675,16-01-2015,yogurt,Dairy
1321,13-04-2015,bottled beer,Beverages
1535,03-07-2015,pip fruit,Fruits
4437,13-06-2015,hamburger meat,Meat
2249,29-05-2015,long life bakery product,Bakery
1785,24-07-2015,ham,Meat
4635,16-10-2015,butter,Dairy
4125,14-06-2015,whole milk,Dairy
3568,11-08-2015,dessert,Bakery
3575,20-01-2015,photo/film,Baby Products
2691,04-11-2015,bags,Snacks
3571,17-06-2015,rolls/buns,Bakery
4648,03-08-2015,brown bread,Bakery
2085,25-03-2015,beef,Meat
4104,01-01-2015,dessert,Bakery
1143,27-01-2015,misc. beverages,Beverages
2228,30-05-2015,sugar,Snacks
3746,13-07-2015,sausage,Meat
3934,27-03-2015,whole milk,Dairy
1329,29-03-2015,sausage,Meat
4689,07-09-2015,canned beer,Canned Goods
3199,24-12-2015,citrus fruit,Fruits
4778,26-04-2015,sausage,Meat
1146,11-06-2015,whole milk,Dairy
4338,11-10-2015,pip fruit,Fruits
1345,21-07-2015,frankfurter,Meat
4441,09-11-2015,citrus fruit,Fruits
2540,16-02-2015,misc. beverages,Beverages
1997,06-06-2015,frankfurter,Meat
2294,26-07-2015,chocolate,Dairy
1523,28-03-2015,ham,Meat
3165,18-08-2015,frankfurter,Meat
4831,12-04-2015,brown bread,Bakery
4073,02-11-2015,rolls/buns,Bakery
3661,25-07-2015,pip fruit,Fruits
2019,09-10-2015,sausage,Meat
1092,16-05-2015,root vegetables,Vegetables
4078,14-11-2015,pork,Meat
4753,21-06-2015,whole milk,Dairy
1279,10-09-2015,beverages,Beverages
1012,19-11-2015,tropical fruit,Fruits
2362,23-11-2015,specialty chocolate,Dairy
2789,06-02-2015,pastry,Bakery
3229,07-08-2015,cat food,Snacks
1715,03-05-2015,chicken,Meat
4351,16-01-2015,bottled beer,Beverages
4397,27-06-2015,whipped/sour cream,Dairy
3653,21-10-2015,long life bakery product,Bakery
2730,10-11-2015,beef,Meat
4321,27-10-2015,salty snack,Snacks
1086,17-11-2015,other vegetables,Vegetables
1708,28-12-2015,meat,Meat
4293,24-08-2015,fish,Seafood
4524,22-04-2015,whole milk,Dairy
3783,08-03-2015,detergent,Cleaning Supplies
1460,24-06-2015,hamburger meat,Meat
2960,19-12-2015,whole milk,Dairy
3442,12-10-2015,beef,Meat
4059,07-05-2015,frozen meals,Frozen
1822,03-03-2015,pip fruit,Fruits
1584,10-07-2015,yogurt,Dairy
1624,04-02-2015,rolls/buns,Bakery
4877,06-11-2015,whole milk,Dairy
1567,11-04-2015,ham,Meat
2018,04-01-2015,frozen meals,Frozen
1182,01-09-2015,ice cream,Dairy
3401,02-08-2015,pork,Meat
4547,18-01-2015,chewing gum,Snacks
3547,21-10-2015,tropical fruit,Fruits
4831,06-04-2015,whole milk,Dairy
2851,01-01-2015,whole milk,Dairy
3072,28-02-2015,bottled water,Beverages
1398,15-04-2015,sausage,Meat
1779,28-10-2015,whole milk,Dairy
1823,27-11-2015,whole milk,Dairy
3360,14-11-2015,whole milk,Dairy
1565,15-10-2015,pork,Meat
4321,08-05-2015,curd,Meat
1293,05-03-2015,dessert,Bakery
3331,25-07-2015,waffles,Snacks
2408,19-05-2015,onions,Vegetables
2742,10-10-2015,misc. beverages,Beverages
3934,01-05-2015,shopping bags,Dry Goods
4742,22-06-2015,white wine,Beverages
4405,22-07-2015,frankfurter,Meat
3229,25-03-2015,white bread,Bakery
2817,22-12-2015,pork,Meat
2741,17-02-2015,other vegetables,Vegetables
3562,30-12-2015,pork,Meat
4442,10-06-2015,berries,Fruits
2022,05-02-2015,frankfurter,Meat
4380,03-11-2015,root vegetables,Vegetables
3687,22-12-2015,finished products,Baby Products
2077,07-05-2015,bottled water,Beverages
3273,15-03-2015,margarine,Meat
3736,27-11-2015,soda,Beverages
3190,28-03-2015,hamburger meat,Meat
3295,28-07-2015,root vegetables,Vegetables
3276,30-06-2015,root vegetables,Vegetables
4405,06-01-2015,soda,Beverages
4266,31-07-2015,canned beer,Canned Goods
1372,25-06-2015,frozen fish,Frozen
1242,13-12-2015,beverages,Beverages
4820,01-05-2015,pip fruit,Fruits
4702,08-11-2015,pot plants,Vegetables
3687,16-07-2015,pork,Meat
4115,20-03-2015,fruit/vegetable juice,Fruits
2236,03-02-2015,fruit/vegetable juice,Fruits
1026,15-03-2015,fruit/vegetable juice,Fruits
2678,20-03-2015,tropical fruit,Fruits
1934,04-08-2015,yogurt,Dairy
3525,14-02-2015,canned beer,Canned Goods
1354,29-11-2015,canned beer,Canned Goods
2782,09-04-2015,cream cheese ,Dairy
4456,16-05-2015,bottled water,Beverages
4869,03-04-2015,sausage,Meat
2454,26-08-2015,soda,Beverages
4222,20-08-2015,newspapers,Bakery
1358,11-09-2015,whole milk,Dairy
3393,15-02-2015,pot plants,Vegetables
1615,03-12-2015,yogurt,Dairy
4734,12-07-2015,roll products ,Baby Products
4946,04-11-2015,soft cheese,Dairy
2419,22-08-2015,frozen meals,Frozen
4989,03-06-2015,ice cream,Dairy
2961,27-05-2015,frankfurter,Meat
2707,07-03-2015,meat,Meat
2010,06-11-2015,soda,Beverages
1502,16-04-2015,butter milk,Dairy
2600,29-04-2015,frozen potato products,Frozen
3603,30-01-2015,other vegetables,Vegetables
4352,14-04-2015,frankfurter,Meat
1477,16-05-2015,misc. beverages,Beverages
4938,24-11-2015,sausage,Meat
2745,27-01-2015,butter,Dairy
2738,09-11-2015,frankfurter,Meat
4170,19-01-2015,bottled water,Beverages
3776,17-05-2015,kitchen towels,Dry Goods
1062,18-09-2015,other vegetables,Vegetables
1546,03-01-2015,butter,Dairy
2020,19-11-2015,sausage,Meat
2366,18-01-2015,frankfurter,Meat
1107,03-01-2015,liver loaf,Bakery
1407,29-07-2015,white wine,Beverages
3718,26-02-2015,frankfurter,Meat
4808,26-07-2015,meat,Meat
2940,21-05-2015,canned beer,Canned Goods
3048,10-12-2015,chicken,Meat
3165,15-06-2015,other vegetables,Vegetables
4306,28-12-2015,pip fruit,Fruits
4302,05-11-2015,other vegetables,Vegetables
4516,29-03-2015,yogurt,Dairy
3582,31-03-2015,root vegetables,Vegetables
1534,10-07-2015,shopping bags,Dry Goods
1844,24-07-2015,UHT-milk,Dairy
1218,05-07-2015,whole milk,Dairy
4482,30-11-2015,hamburger meat,Meat
2574,11-12-2015,frozen vegetables,Vegetables
2767,27-01-2015,root vegetables,Vegetables
2794,29-09-2015,sausage,Meat
4228,26-03-2015,whole milk,Dairy
3062,08-06-2015,beef,Meat
2365,21-06-2015,sausage,Meat
3775,07-07-2015,pork,Meat
2232,06-05-2015,bottled beer,Beverages
4156,03-08-2015,salty snack,Snacks
3643,20-09-2015,bottled beer,Beverages
3470,04-10-2015,soda,Beverages
2602,11-12-2015,bottled water,Beverages
4796,10-06-2015,frankfurter,Meat
3289,09-08-2015,tropical fruit,Fruits
4470,31-03-2015,canned beer,Canned Goods
2502,07-02-2015,chicken,Meat
2205,07-03-2015,citrus fruit,Fruits
3201,21-01-2015,curd,Meat
2882,25-06-2015,citrus fruit,Fruits
2757,16-12-2015,citrus fruit,Fruits
3679,30-08-2015,other vegetables,Vegetables
2380,12-02-2015,bottled water,Beverages
1825,06-10-2015,chicken,Meat
2868,18-07-2015,waffles,Snacks
2709,20-08-2015,curd,Meat
4585,16-07-2015,oil,Condiments
2634,22-04-2015,berries,Fruits
4832,03-12-2015,frankfurter,Meat
2032,28-07-2015,pork,Meat
2061,27-12-2015,tropical fruit,Fruits
2210,13-01-2015,frankfurter,Meat
2346,05-08-2015,specialty cheese,Dairy
4315,26-04-2015,citrus fruit,Fruits
4166,26-07-2015,bottled beer,Beverages
3907,25-10-2015,other vegetables,Vegetables
2706,22-03-2015,frankfurter,Meat
2855,05-08-2015,canned beer,Canned Goods
2074,10-04-2015,citrus fruit,Fruits
2840,27-05-2015,other vegetables,Vegetables
2247,31-05-2015,citrus fruit,Fruits
4063,14-07-2015,whole milk,Dairy
4780,03-07-2015,soda,Beverages
1081,06-03-2015,other vegetables,Vegetables
4843,02-03-2015,pip fruit,Fruits
3246,27-08-2015,canned beer,Canned Goods
4009,14-07-2015,tropical fruit,Fruits
3697,03-10-2015,root vegetables,Vegetables
4579,29-10-2015,other vegetables,Vegetables
3803,06-10-2015,root vegetables,Vegetables
4108,21-07-2015,bottled water,Beverages
1664,01-04-2015,whole milk,Dairy
4179,06-03-2015,root vegetables,Vegetables
4172,18-02-2015,tropical fruit,Fruits
2851,17-02-2015,butter,Dairy
3385,22-06-2015,flower soil/fertilizer,Vegetables
1303,08-09-2015,pasta,Grains & Pasta
4487,22-01-2015,other vegetables,Vegetables
2392,23-03-2015,other vegetables,Vegetables
4218,03-10-2015,beef,Meat
2891,02-07-2015,root vegetables,Vegetables
4474,10-12-2015,whole milk,Dairy
4437,28-07-2015,pork,Meat
2648,08-11-2015,beef,Meat
1081,03-05-2015,specialty bar,Bakery
3071,21-01-2015,salty snack,Snacks
3409,20-05-2015,sausage,Meat
2768,01-01-2015,tropical fruit,Fruits
3424,16-08-2015,canned beer,Canned Goods
4610,19-04-2015,pip fruit,Fruits
3090,04-11-2015,turkey,Meat
4585,01-05-2015,other vegetables,Vegetables
4388,20-03-2015,sausage,Meat
3751,01-01-2015,frankfurter,Meat
2650,11-05-2015,citrus fruit,Fruits
4282,23-06-2015,chicken,Meat
3273,26-09-2015,citrus fruit,Fruits
2983,11-09-2015,flour,Grains & Pasta
2075,20-01-2015,baking powder,Bakery
2841,20-12-2015,finished products,Baby Products
1562,11-05-2015,frankfurter,Meat
4619,16-06-2015,chicken,Meat
3122,31-10-2015,chicken,Meat
1790,29-03-2015,sausage,Meat
4395,08-06-2015,beef,Meat
3074,13-04-2015,whole milk,Dairy
3797,20-01-2015,sausage,Meat
4958,11-07-2015,other vegetables,Vegetables
3752,08-02-2015,onions,Vegetables
1277,01-12-2015,sausage,Meat
4403,20-09-2015,frankfurter,Meat
2272,05-09-2015,zwieback,Frozen
3443,18-04-2015,chicken,Meat
4667,19-07-2015,frankfurter,Meat
2902,06-06-2015,whole milk,Dairy
1494,25-06-2015,frozen fish,Frozen
2231,08-05-2015,berries,Fruits
1917,29-07-2015,chicken,Meat
2144,05-01-2015,onions,Vegetables
2656,16-12-2015,beef,Meat
1881,05-06-2015,root vegetables,Vegetables
4764,27-09-2015,soda,Beverages
2755,17-05-2015,whole milk,Dairy
2361,27-02-2015,citrus fruit,Fruits
2311,01-11-2015,sausage,Meat
3937,04-05-2015,sparkling wine,Beverages
4932,17-07-2015,UHT-milk,Dairy
3304,28-03-2015,soda,Beverages
1133,03-08-2015,curd,Meat
2843,14-12-2015,whole milk,Dairy
2719,30-05-2015,frankfurter,Meat
2678,04-04-2015,chocolate,Dairy
2211,29-11-2015,other vegetables,Vegetables
4682,19-03-2015,coffee,Beverages
1696,04-10-2015,tropical fruit,Fruits
2061,12-02-2015,beef,Meat
1385,21-06-2015,whipped/sour cream,Dairy
4302,08-03-2015,tropical fruit,Fruits
4113,27-04-2015,UHT-milk,Dairy
1122,25-06-2015,root vegetables,Vegetables
4508,07-10-2015,frankfurter,Meat
4688,03-08-2015,pip fruit,Fruits
3906,16-06-2015,pip fruit,Fruits
2847,18-05-2015,whipped/sour cream,Dairy
3402,29-03-2015,canned beer,Canned Goods
2039,22-09-2015,oil,Condiments
4228,04-04-2015,white bread,Bakery
3622,29-08-2015,soda,Beverages
2643,08-11-2015,hygiene articles,Personal Care
3406,13-09-2015,bottled beer,Beverages
4537,22-01-2015,dessert,Bakery
1326,07-02-2015,cereals,Breakfast & Cereal
3490,09-07-2015,canned beer,Canned Goods
1277,02-03-2015,frankfurter,Meat
1599,13-10-2015,sausage,Meat
2013,07-02-2015,UHT-milk,Dairy
2613,24-05-2015,misc. beverages,Beverages
1705,12-10-2015,baking powder,Bakery
4571,03-03-2015,bottled water,Beverages
3432,25-02-2015,meat,Meat
3641,27-12-2015,bottled water,Beverages
4232,14-11-2015,pork,Meat
3614,28-04-2015,tropical fruit,Fruits
1120,14-07-2015,citrus fruit,Fruits
4345,28-01-2015,rolls/buns,Bakery
3663,04-01-2015,meat spreads,Meat
2147,12-11-2015,brown bread,Bakery
4718,04-09-2015,bottled water,Beverages
2825,14-08-2015,frankfurter,Meat
3195,14-06-2015,pork,Meat
1910,30-10-2015,yogurt,Dairy
4170,08-01-2015,soda,Beverages
4576,17-09-2015,canned beer,Canned Goods
1959,09-07-2015,pastry,Bakery
2729,06-01-2015,citrus fruit,Fruits
1811,18-03-2015,citrus fruit,Fruits
4548,30-07-2015,sausage,Meat
4463,15-08-2015,decalcifier,Frozen
3908,10-07-2015,sausage,Meat
3579,24-05-2015,beef,Meat
2226,06-01-2015,hamburger meat,Meat
3701,27-04-2015,mayonnaise,Condiments
4149,20-03-2015,fruit/vegetable juice,Fruits
3011,22-06-2015,finished products,Baby Products
2324,18-08-2015,chicken,Meat
3778,03-12-2015,whole milk,Dairy
3837,12-05-2015,ham,Meat
3587,06-01-2015,liquor,Beverages
3885,15-10-2015,canned beer,Canned Goods
2271,17-01-2015,dog food,Pet Supplies
4134,14-06-2015,citrus fruit,Fruits
4936,15-03-2015,tropical fruit,Fruits
4084,03-11-2015,beef,Meat
1054,21-10-2015,photo/film,Baby Products
2553,20-07-2015,chicken,Meat
1513,12-11-2015,sausage,Meat
1088,09-11-2015,whole milk,Dairy
3724,11-12-2015,meat,Meat
3054,17-02-2015,whole milk,Dairy
2281,27-10-2015,beef,Meat
4353,12-06-2015,ham,Meat
2131,27-08-2015,sausage,Meat
2876,09-09-2015,sausage,Meat
4395,25-02-2015,ham,Meat
2438,20-02-2015,pork,Meat
2690,17-10-2015,canned beer,Canned Goods
4362,02-03-2015,chicken,Meat
1777,21-04-2015,beef,Meat
1659,10-03-2015,yogurt,Dairy
4244,31-10-2015,tropical fruit,Fruits
2165,27-04-2015,chicken,Meat
4809,04-02-2015,flower soil/fertilizer,Vegetables
3715,06-04-2015,other vegetables,Vegetables
1562,22-01-2015,frozen vegetables,Vegetables
2676,07-11-2015,margarine,Meat
3339,13-04-2015,meat,Meat
1565,12-12-2015,meat,Meat
4835,28-10-2015,pip fruit,Fruits
3996,31-08-2015,ham,Meat
2499,18-02-2015,beef,Meat
1361,06-07-2015,other vegetables,Vegetables
4418,13-01-2015,ham,Meat
4610,22-01-2015,yogurt,Dairy
3160,06-05-2015,other vegetables,Vegetables
2779,01-12-2015,whole milk,Dairy
4154,02-07-2015,root vegetables,Vegetables
2034,11-10-2015,frankfurter,Meat
2601,20-05-2015,bottled beer,Beverages
2511,16-03-2015,hamburger meat,Meat
4246,01-12-2015,sausage,Meat
4231,11-01-2015,chicken,Meat
2100,19-09-2015,dishes,Seafood
2380,01-06-2015,pork,Meat
2324,14-05-2015,frankfurter,Meat
1473,02-10-2015,napkins,Condiments
3824,12-02-2015,root vegetables,Vegetables
3289,26-12-2015,chicken,Meat
1220,29-12-2015,frankfurter,Meat
1923,30-04-2015,canned beer,Canned Goods
3612,13-06-2015,canned beer,Canned Goods
2682,28-06-2015,sausage,Meat
4560,03-07-2015,frankfurter,Meat
4531,16-10-2015,bottled water,Beverages
1379,07-07-2015,other vegetables,Vegetables
4826,17-01-2015,rolls/buns,Bakery
1763,03-12-2015,frankfurter,Meat
1094,08-09-2015,sausage,Meat
1729,01-08-2015,frankfurter,Meat
4497,07-06-2015,whole milk,Dairy
1893,18-01-2015,beef,Meat
3478,02-04-2015,canned beer,Canned Goods
2295,28-12-2015,frankfurter,Meat
1833,24-07-2015,frozen chicken,Frozen
3307,03-03-2015,pork,Meat
3562,18-03-2015,tropical fruit,Fruits
3145,16-11-2015,other vegetables,Vegetables
3595,17-12-2015,coffee,Beverages
4934,17-03-2015,meat,Meat
3386,03-02-2015,citrus fruit,Fruits
4125,21-03-2015,citrus fruit,Fruits
2570,19-03-2015,other vegetables,Vegetables
3613,05-10-2015,beef,Meat
3292,31-07-2015,dishes,Seafood
1409,02-07-2015,shopping bags,Dry Goods
3315,19-11-2015,tropical fruit,Fruits
3486,29-01-2015,hamburger meat,Meat
1256,02-08-2015,sausage,Meat
2523,04-07-2015,whole milk,Dairy
1432,04-08-2015,other vegetables,Vegetables
4819,01-10-2015,ice cream,Dairy
4455,30-06-2015,turkey,Meat
3467,27-11-2015,pip fruit,Fruits
1991,22-10-2015,chicken,Meat
4862,15-05-2015,root vegetables,Vegetables
3225,25-02-2015,sausage,Meat
3296,27-06-2015,pickled vegetables,Vegetables
4179,21-03-2015,frankfurter,Meat
4641,06-07-2015,meat,Meat
3411,19-06-2015,berries,Fruits
1932,15-03-2015,chewing gum,Snacks
1324,10-04-2015,specialty chocolate,Dairy
4787,12-08-2015,sausage,Meat
1497,10-10-2015,butter milk,Dairy
3666,12-04-2015,canned beer,Canned Goods
4338,06-09-2015,frankfurter,Meat
4159,28-12-2015,bottled water,Beverages
4558,03-04-2015,pork,Meat
4680,27-08-2015,bottled beer,Beverages
4303,25-09-2015,soda,Beverages
4595,07-08-2015,yogurt,Dairy
2600,16-12-2015,pet care,Pet Supplies
3830,07-04-2015,pork,Meat
2073,14-05-2015,tropical fruit,Fruits
1847,14-02-2015,organic sausage,Meat
1223,30-11-2015,ham,Meat
3297,08-02-2015,sausage,Meat
2818,22-11-2015,whole milk,Dairy
2507,30-12-2015,frozen fish,Frozen
3358,19-03-2015,whipped/sour cream,Dairy
1930,18-04-2015,pork,Meat
2764,28-12-2015,UHT-milk,Dairy
3025,16-06-2015,misc. beverages,Beverages
2201,03-05-2015,specialty chocolate,Dairy
3982,25-07-2015,sausage,Meat
2117,28-03-2015,frozen meals,Frozen
2706,12-02-2015,specialty chocolate,Dairy
4924,26-08-2015,whole milk,Dairy
3851,10-05-2015,whole milk,Dairy
4036,26-05-2015,pip fruit,Fruits
2202,28-09-2015,frozen meals,Frozen
1574,12-02-2015,frankfurter,Meat
1417,13-07-2015,pip fruit,Fruits
3204,08-05-2015,rolls/buns,Bakery
3445,01-10-2015,sausage,Meat
3748,05-03-2015,pet care,Pet Supplies
4061,09-05-2015,instant coffee,Beverages
2855,09-09-2015,other vegetables,Vegetables
4548,28-07-2015,herbs,Vegetables
3881,07-04-2015,meat,Meat
3864,12-12-2015,pip fruit,Fruits
2766,19-08-2015,citrus fruit,Fruits
3953,13-05-2015,sausage,Meat
4526,24-08-2015,frankfurter,Meat
1468,09-10-2015,canned beer,Canned Goods
4982,01-08-2015,canned beer,Canned Goods
3450,27-04-2015,other vegetables,Vegetables
1330,02-11-2015,soda,Beverages
4456,17-04-2015,soda,Beverages
4606,30-03-2015,pastry,Bakery
3773,27-11-2015,ham,Meat
4593,12-02-2015,frankfurter,Meat
2244,28-01-2015,soda,Beverages
4296,26-08-2015,whole milk,Dairy
3296,02-03-2015,whole milk,Dairy
1114,10-07-2015,misc. beverages,Beverages
3480,07-05-2015,root vegetables,Vegetables
3842,14-10-2015,other vegetables,Vegetables
1715,21-05-2015,butter,Dairy
4052,21-04-2015,bottled beer,Beverages
2663,28-05-2015,whole milk,Dairy
1861,19-05-2015,pip fruit,Fruits
2181,23-06-2015,male cosmetics,Baby Products
2319,10-05-2015,meat,Meat
4277,06-12-2015,bottled water,Beverages
2193,07-01-2015,pastry,Bakery
3589,05-10-2015,sausage,Meat
3144,19-06-2015,pork,Meat
4044,26-08-2015,packaged fruit/vegetables,Vegetables
4048,08-05-2015,other vegetables,Vegetables
2272,31-01-2015,misc. beverages,Beverages
4637,14-05-2015,whole milk,Dairy
3640,26-01-2015,pip fruit,Fruits
2599,22-11-2015,liquor,Beverages
1363,14-10-2015,whole milk,Dairy
3560,27-09-2015,canned beer,Canned Goods
1228,23-02-2015,photo/film,Baby Products
3749,09-03-2015,tropical fruit,Fruits
1358,29-12-2015,domestic eggs,Household
2586,26-10-2015,meat,Meat
4626,24-12-2015,meat,Meat
1857,10-09-2015,pork,Meat
2646,11-11-2015,rolls/buns,Bakery
4242,09-12-2015,coffee,Beverages
2344,14-02-2015,canned beer,Canned Goods
1646,15-08-2015,butter milk,Dairy
3450,08-03-2015,bottled water,Beverages
4645,29-12-2015,organic sausage,Meat
3154,10-04-2015,napkins,Condiments
2037,19-04-2015,organic sausage,Meat
2078,16-10-2015,tropical fruit,Fruits
2444,12-05-2015,chocolate marshmallow,Snacks
2100,13-10-2015,frankfurter,Meat
4689,04-06-2015,cling film/bags,Cleaning Supplies
4430,22-02-2015,bottled beer,Beverages
1997,26-10-2015,citrus fruit,Fruits
3414,05-02-2015,liquor,Beverages
2289,06-09-2015,brown bread,Bakery
3137,24-08-2015,ice cream,Dairy
1696,01-03-2015,newspapers,Bakery
1332,03-04-2015,processed cheese,Dairy
4748,24-03-2015,chicken,Meat
4505,17-04-2015,tropical fruit,Fruits
4336,27-04-2015,whole milk,Dairy
2800,17-03-2015,citrus fruit,Fruits
4456,21-03-2015,bottled beer,Beverages
3537,12-07-2015,sausage,Meat
1331,29-04-2015,sausage,Meat
1140,26-06-2015,pip fruit,Fruits
1976,14-10-2015,other vegetables,Vegetables
3353,13-04-2015,sausage,Meat
2190,14-05-2015,tropical fruit,Fruits
3221,29-06-2015,pastry,Bakery
4878,21-09-2015,coffee,Beverages
2291,20-09-2015,ham,Meat
2542,08-03-2015,liquor,Beverages
3770,13-01-2015,sausage,Meat
3892,20-07-2015,frozen chicken,Frozen
2515,22-07-2015,frankfurter,Meat
4687,13-01-2015,bottled water,Beverages
3743,06-05-2015,canned beer,Canned Goods
1031,15-10-2015,other vegetables,Vegetables
4245,04-06-2015,bottled water,Beverages
1851,29-06-2015,berries,Fruits
1788,20-12-2015,dessert,Bakery
3166,15-01-2015,pip fruit,Fruits
4108,27-09-2015,pork,Meat
4078,25-04-2015,frankfurter,Meat
1784,26-09-2015,bottled water,Beverages
4001,21-06-2015,tropical fruit,Fruits
3202,14-11-2015,pip fruit,Fruits
1939,15-07-2015,tropical fruit,Fruits
2530,30-08-2015,bottled beer,Beverages
2893,12-12-2015,candles,Beverages
3666,16-02-2015,spread cheese,Dairy
1123,12-11-2015,pork,Meat
1098,07-05-2015,canned beer,Canned Goods
4319,21-05-2015,pork,Meat
4761,01-03-2015,beverages,Beverages
3790,26-07-2015,sausage,Meat
4296,28-07-2015,tropical fruit,Fruits
4450,30-07-2015,UHT-milk,Dairy
2434,18-09-2015,soda,Beverages
3779,10-11-2015,ham,Meat
1613,03-08-2015,white wine,Beverages
3209,28-12-2015,UHT-milk,Dairy
4895,07-09-2015,sausage,Meat
1654,25-03-2015,whisky,Beverages
1126,29-04-2015,misc. beverages,Beverages
1254,19-04-2015,white wine,Beverages
3168,02-05-2015,soda,Beverages
