Date,category,Member_number
26/03/2025,Personal Care,M0220
15/03/2025,Produce,M0064
20/03/2025,Produce,M0110
09/01/2025,Produce,M0069
23/02/2025,Produce,M0251
20/01/2025,Snacks,M0075
06/02/2025,Frozen,M0070
17/03/2025,Meat,M0256
15/01/2025,Snacks,M0142
30/04/2025,Beverages,M0122
01/01/2025,Snacks,M0089
04/04/2025,Snacks,M0202
07/02/2025,Household,M0159
09/01/2025,Dairy,M0058
17/02/2025,Produce,M0121
21/02/2025,Meat,M0107
19/04/2025,Snacks,M0077
21/03/2025,Household,M0234
13/01/2025,Personal Care,M0085
24/02/2025,Household,M0116
21/02/2025,Snacks,M0197
29/04/2025,Bakery,M0150
06/02/2025,Frozen,M0043
15/01/2025,Bakery,M0045
29/01/2025,Meat,M0213
28/04/2025,Household,M0237
23/04/2025,Produce,M0089
07/02/2025,Personal Care,M0183
10/03/2025,Meat,M0104
26/01/2025,Beverages,M0224
01/01/2025,Canned Goods,M0295
10/02/2025,Produce,M0276
08/02/2025,Frozen,M0210
08/01/2025,Bakery,M0144
04/04/2025,Snacks,M0296
11/01/2025,Bakery,M0245
15/02/2025,Frozen,M0085
23/03/2025,Personal Care,M0154
17/01/2025,Produce,M0064
25/01/2025,Frozen,M0252
15/01/2025,Snacks,M0136
02/01/2025,Snacks,M0251
21/03/2025,Bakery,M0249
23/03/2025,Produce,M0212
13/01/2025,Bakery,M0215
17/03/2025,Canned Goods,M0250
12/02/2025,Snacks,M0270
22/04/2025,Produce,M0266
19/03/2025,Produce,M0014
21/03/2025,Dairy,M0294
20/01/2025,Household,M0116
08/04/2025,Produce,M0284
11/02/2025,Bakery,M0290
27/01/2025,Produce,M0252
05/03/2025,Snacks,M0041
09/01/2025,Bakery,M0031
22/02/2025,Beverages,M0074
22/04/2025,Meat,M0209
02/04/2025,Personal Care,M0117
13/02/2025,Meat,M0174
14/01/2025,Dairy,M0274
01/04/2025,Frozen,M0069
22/01/2025,Snacks,M0101
06/04/2025,Frozen,M0021
10/02/2025,Produce,M0232
17/01/2025,Frozen,M0073
29/03/2025,Canned Goods,M0233
24/03/2025,Bakery,M0083
16/02/2025,Canned Goods,M0084
10/03/2025,Beverages,M0007
22/03/2025,Produce,M0067
28/04/2025,Produce,M0230
19/01/2025,Beverages,M0153
17/04/2025,Produce,M0131
15/03/2025,Produce,M0299
28/02/2025,Beverages,M0143
20/01/2025,Beverages,M0221
10/02/2025,Meat,M0279
11/01/2025,Household,M0092
31/01/2025,Meat,M0267
06/03/2025,Household,M0222
12/02/2025,Beverages,M0120
02/04/2025,Produce,M0205
06/02/2025,Frozen,M0119
27/02/2025,Produce,M0164
22/02/2025,Frozen,M0280
20/01/2025,Snacks,M0218
19/03/2025,Household,M0277
06/03/2025,Beverages,M0097
14/01/2025,Frozen,M0289
16/03/2025,Produce,M0051
05/03/2025,Beverages,M0164
19/03/2025,Dairy,M0105
08/03/2025,Frozen,M0200
29/01/2025,Snacks,M0195
02/04/2025,Snacks,M0218
17/03/2025,Meat,M0181
27/01/2025,Beverages,M0067
15/04/2025,Produce,M0088
14/03/2025,Personal Care,M0045
23/01/2025,Snacks,M0019
28/02/2025,Snacks,M0083
14/02/2025,Bakery,M0261
12/02/2025,Produce,M0077
10/02/2025,Personal Care,M0208
21/01/2025,Bakery,M0131
15/04/2025,Beverages,M0176
03/01/2025,Produce,M0204
25/03/2025,Produce,M0270
21/03/2025,Frozen,M0277
05/03/2025,Beverages,M0167
12/04/2025,Produce,M0290
28/04/2025,Snacks,M0142
21/03/2025,Beverages,M0037
29/01/2025,Frozen,M0236
02/04/2025,Household,M0252
18/04/2025,Meat,M0150
13/04/2025,Meat,M0266
28/03/2025,Meat,M0208
22/04/2025,Frozen,M0054
